Title,Link,Description,Publication Date,Category,New_description
Watch | Annamalai: Game changer or spoiler?,https://www.thehindu.com/news/national/tamil-nadu/watch-annamalai-game-changer-or-spoiler/article68286515.ece,A blame game is on in the Tamil Nadu BJP over the party’s washout in the Lok Sabha elections,"Thu, 13 Jun 2024 21:52:47 +0530",Tamil Nadu,A blame game is on in the Tamil Nadu BJP over the party’s washout in the Lok Sabha elections
Deep Science Start-ups Get a Platform at ACS Ignite,https://www.thehindu.com/news/cities/bangalore/deep-science-start-ups-get-a-platform-at-acs-ignite/article68285817.ece,"Over twenty start-ups got a platform to pitch their ideas to Venture Capitalists, who would go on to provide access to networks and funds","Thu, 13 Jun 2024 21:51:46 +0530",Bengaluru,"Over twenty start-ups got a platform to pitch their ideas to Venture Capitalists, who would go on to provide access to networks and funds"
"BBMP asks citizens, organisations to register for adoption of parks, circles and dividers ",https://www.thehindu.com/news/cities/bangalore/bbmp-asks-citizens-organisations-to-register-for-adoption-of-parks-circles-and-dividers/article68286224.ece,,"Thu, 13 Jun 2024 21:49:41 +0530",Bengaluru,"BBMP asks citizens, organisations to register for adoption of parks, circles and dividers "
Death of nine cows within a month in a dairy farm shocks farmers in Karur   ,https://www.thehindu.com/news/cities/Tiruchirapalli/death-of-nine-cows-within-a-month-in-a-dairy-farm-shocks-farmers-in-karur/article68286098.ece,"While sources say the postmortem  reports indicated malnutrition to be the cause of the death of the animals, farmers allege consumption of polluted groundwater caused the animals to die; Collector has formed a committee to probe the matter","Thu, 13 Jun 2024 21:48:59 +0530",Tiruchirapalli,"While sources say the postmortem  reports indicated malnutrition to be the cause of the death of the animals, farmers allege consumption of polluted groundwater caused the animals to die; Collector has formed a committee to probe the matter"
"A.P. CM Naidu signs first file on Mega DSC notification, four on other key election promises",https://www.thehindu.com/news/national/andhra-pradesh/ap-cm-naidu-signs-first-file-on-mega-dsc-notification-four-on-other-key-election-promises/article68285891.ece,"Scrapping of Land Titling Act, increasing the amount of social security pension, revival of Anna Canteens among the other four files signed by him immediately on assuming office at the Secretariat in Amaravati on June 13","Thu, 13 Jun 2024 21:47:48 +0530",Andhra Pradesh,"Scrapping of Land Titling Act, increasing the amount of social security pension, revival of Anna Canteens among the other four files signed by him immediately on assuming office at the Secretariat in Amaravati on June 13"
Farm labourer injured in elephant attack,https://www.thehindu.com/news/national/karnataka/farm-labourer-injured-in-elephant-attack/article68285947.ece,,"Thu, 13 Jun 2024 21:47:40 +0530",Karnataka,Farm labourer injured in elephant attack
NCLAT stops handing over of Steel Complex to Chattisgarh firm,https://www.thehindu.com/news/national/kerala/nclat-stops-handing-over-of-steel-complex-to-chattisgarh-firm/article68285971.ece,,"Thu, 13 Jun 2024 21:45:05 +0530",Kerala,NCLAT stops handing over of Steel Complex to Chattisgarh firm
Monsoon blues continue as waterlogged roads test patience of motorists in Vijayawada  ,https://www.thehindu.com/news/national/andhra-pradesh/evening-rain-leaves-roads-in-vijayawada-waterlogged/article68285910.ece,Denizens get stuck in traffic snarl for more than 30 minutes near Benz Circle;   flow of vehicles comes to a standstill at major junctions   ,"Thu, 13 Jun 2024 21:42:42 +0530",Andhra Pradesh,Denizens get stuck in traffic snarl for more than 30 minutes near Benz Circle;   flow of vehicles comes to a standstill at major junctions   
Kerala High Court sentences accused in gang rape case to 30 years’ life imprisonment  ,https://www.thehindu.com/news/cities/Kochi/kerala-high-court-sentences-accused-in-gang-rape-case-to-30-years-life-imprisonment/article68285458.ece,"The prosecution case was that the accused took the survivor and another migrant woman in their autorickshaw from Kalamassery on February 14, 2015, gang-raped one of them","Thu, 13 Jun 2024 21:42:11 +0530",Kochi,"The prosecution case was that the accused took the survivor and another migrant woman in their autorickshaw from Kalamassery on February 14, 2015, gang-raped one of them"
C-CAMP centres of excellence to boost research commercialisation in India,https://www.thehindu.com/news/cities/bangalore/c-camp-centres-of-excellence-to-boost-research-commercialisation-in-india/article68285155.ece,,"Thu, 13 Jun 2024 21:40:19 +0530",Bengaluru,C-CAMP centres of excellence to boost research commercialisation in India
NIA chargesheets seven accused in Ballari terror module case ,https://www.thehindu.com/news/national/karnataka/nia-chargesheets-seven-accused-in-ballari-terror-module-case/article68285452.ece,"‘The sleeper cells were being prepared to carry out guerrilla attacks on Indian soldiers, police, and leaders of specific religious organisations’","Thu, 13 Jun 2024 21:40:18 +0530",Karnataka,"‘The sleeper cells were being prepared to carry out guerrilla attacks on Indian soldiers, police, and leaders of specific religious organisations’"
"U.S. NSA Jake Sullivan, Deputy Secretary of State Kurt Campbell expected in New Delhi next week",https://www.thehindu.com/news/national/us-nsa-jake-sullivan-deputy-secretary-of-state-kurt-campbell-expected-in-new-delhi-next-week/article68286057.ece,"Responding to a question on U.S. export controls hindering technology cooperation, Campbell says there are certain longstanding ‘practices and some steps’ that are no longer relevant","Thu, 13 Jun 2024 21:39:55 +0530",India,"Responding to a question on U.S. export controls hindering technology cooperation, Campbell says there are certain longstanding ‘practices and some steps’ that are no longer relevant"
Two die in an accident near Channarayapatna,https://www.thehindu.com/news/national/karnataka/two-die-in-an-accident-near-channarayapatna/article68286006.ece,,"Thu, 13 Jun 2024 21:39:45 +0530",Karnataka,Two die in an accident near Channarayapatna
Raghavendra alleges the State govt. wants to divert public attention from allegations of corruption by raking up the Yediyurappa  case,https://www.thehindu.com/news/national/karnataka/raghavendra-alleges-the-state-govt-wants-to-divert-public-attention-from-allegations-of-corruption-by-raking-up-the-yediyurappa-case/article68285523.ece,,"Thu, 13 Jun 2024 21:38:53 +0530",Karnataka,Raghavendra alleges the State govt. wants to divert public attention from allegations of corruption by raking up the Yediyurappa  case
"CET and NEET counselling to be held simultaneous this year too, but only in July ",https://www.thehindu.com/news/national/karnataka/cet-and-neet-counselling-to-be-held-simultaneous-this-year-too-but-only-in-july/article68284864.ece,,"Thu, 13 Jun 2024 21:35:41 +0530",Karnataka,"CET and NEET counselling to be held simultaneous this year too, but only in July "
UDF requests Khan to refrain from signing local body delimitation Bills into law ,https://www.thehindu.com/news/national/kerala/udf-requests-khan-to-refrain-from-signing-local-body-delimitation-bills-into-law/article68286174.ece,"UDF parliamentary party secretary says the govt. sent the Kerala Panchayat Raj (Second Amendment) Bill, 2024 and the Kerala Municipality (Second Amendment) Bill 2024 without debate to the House for voting.","Thu, 13 Jun 2024 21:31:10 +0530",Kerala,"UDF parliamentary party secretary says the govt. sent the Kerala Panchayat Raj (Second Amendment) Bill, 2024 and the Kerala Municipality (Second Amendment) Bill 2024 without debate to the House for voting."
